time_h,R_m,Csurface_shrink,Csurface_fixed,G,Q,GQ
4.000000000000000000e+00,1.477000000000000014e-02,5.763620848148542919e-01,5.750947858615697017e-01,1.354096140825998607e+00,1.002413422983372993e+00,1.357364147573964841e+00
4.016666666666666607e+00,1.475951246880303352e-02,5.747950085286944732e-01,5.737182898928845365e-01,1.355058308482323559e+00,1.002055874225630250e+00,1.357844137932958439e+00
4.033333333333333215e+00,1.474900600978336883e-02,5.732247354024240238e-01,5.723382692930281124e-01,1.356023584689945993e+00,1.001697080029981590e+00,1.358324865235707390e+00
4.049999999999999822e+00,1.473848625336927204e-02,5.716593381606568380e-01,5.709628009315252939e-01,1.356991461414697620e+00,1.001336994532089131e+00,1.358805751578700649e+00
4.066666666666666430e+00,1.472795882998901781e-02,5.700996702402727490e-01,5.695928163876140538e-01,1.357961427708235469e+00,1.000975464803339765e+00,1.359286071285257913e+00
4.083333333333333037e+00,1.471742937007087908e-02,5.685460248803263505e-01,5.682286822517638170e-01,1.358932969685023195e+00,1.000612348893619830e+00,1.359765110785513320e+00
4.099999999999999645e+00,1.470690350404312875e-02,5.669985044520770012e-01,5.668705598027031778e-01,1.359905570503112893e+00,1.000247532529683792e+00,1.360242191369110509e+00
4.116666666666666252e+00,1.469638686233403282e-02,5.654571314956222672e-01,5.655185179391928330e-01,1.360878710348787379e+00,9.998809251262559261e-01,1.360716663888171585e+00
4.133333333333333748e+00,1.468588507537186769e-02,5.639218880212987228e-01,5.641725785525628645e-01,1.361851866425120461e+00,9.995124480196966310e-01,1.361187892850765024e+00
4.150000000000000355e+00,1.467540377358490453e-02,5.623927319980516204e-01,5.628327380227617915e-01,1.362824512944518673e+00,9.991420247386240128e-01,1.361655243226815415e+00
4.166666666666666963e+00,1.466494858740141974e-02,5.608696046568633076e-01,5.614989787111176467e-01,1.363796121125299798e+00,9.987695727873278084e-01,1.362118069265330522e+00
4.183333333333333570e+00,1.465452514724967584e-02,5.593524348376678335e-01,5.601712748459551916e-01,1.364766159192374095e+00,9.983950005274412343e-01,1.362575710226704206e+00
4.200000000000000178e+00,1.464413908355795095e-02,5.578411418465880622e-01,5.588495959640380484e-01,1.365734092382082654e+00,9.980182059035617170e-01,1.363027488620495387e+00
4.216666666666666785e+00,1.463379602675451800e-02,5.563356375573917934e-01,5.575339090029558520e-01,1.366699382951259922e+00,9.976390763281226537e-01,1.363472710025710022e+00
4.233333333333333393e+00,1.462350160726764645e-02,5.548358280846938939e-01,5.562241793666965473e-01,1.367661490190579254e+00,9.972574897521694348e-01,1.363910664538168449e+00
4.250000000000000000e+00,1.461326145552560574e-02,5.533416150315147997e-01,5.549203715283921312e-01,1.368619870442237652e+00,9.968733158298963559e-01,1.364340628358436502e+00
4.266666666666666607e+00,1.460308120195667227e-02,5.518528964513605972e-01,5.536224494436183807e-01,1.369573977122046982e+00,9.964864169133549332e-01,1.364761865160121657e+00
4.283333333333333215e+00,1.459296647698911896e-02,5.503695676487331268e-01,5.523303767980451973e-01,1.370523260745986738e+00,9.960966490724741940e-01,1.365173627504958187e+00
4.299999999999999822e+00,1.458292291105121180e-02,5.488915218055654410e-01,5.510441171915506642e-01,1.371467168961280514e+00,9.957038629118392103e-01,1.365575157991510968e+00
4.316666666666666430e+00,1.457295613457122718e-02,5.474186504984862589e-01,5.497636341670928406e-01,1.372405146582049262e+00,9.953079044924919572e-01,1.365965690559290735e+00
4.333333333333333037e+00,1.456307177797743803e-02,5.459508440878629854e-01,5.484888912697550856e-01,1.373336635629606173e+00,9.949086159513067518e-01,1.366344451389475578e+00
4.349999999999999645e+00,1.455327547169811379e-02,5.444879920128967710e-01,5.472198520955660062e-01,1.374261075377442021e+00,9.945058359621996580e-01,1.366710659598554534e+00
4.366666666666666252e+00,1.454357284616152567e-02,5.430299830614786494e-01,5.459564802954747220e-01,1.375177902400962271e+00,9.940994002440732835e-01,1.367063528005699302e+00
4.383333333333333748e+00,1.453396953179594657e-02,5.415767056000760915e-01,5.446987396404034953e-01,1.376086550632022787e+00,9.936891418734162817e-01,1.367402263641084081e+00
4.400000000000000355e+00,1.452447115902964943e-02,5.401280477507318656e-01,5.434465940289096020e-01,1.376986451418322099e+00,9.932748916106047821e-01,1.367726068281805096e+00
4.416666666666666963e+00,1.451508335829090543e-02,5.386838975612001645e-01,5.422000074818273951e-01,1.377877033587695754e+00,9.928564782437414582e-01,1.368034139020813056e+00
4.433333333333333570e+00,1.450581176000798576e-02,5.372441431343075724e-01,5.409589442034482554e-01,1.378757723517362699e+00,9.924337287202948943e-01,1.368325668552241581e+00
4.450000000000000178e+00,1.449666199460916335e-02,5.358086727721721454e-01,5.397233685053002272e-01,1.379627945208169226e+00,9.920064685898081214e-01,1.368599845893769151e+00
4.466666666666666785e+00,1.448763969252271286e-02,5.343773749988940391e-01,5.384932449013604128e-01,1.380487120363871112e+00,9.915745218562195262e-01,1.368855856303474949e+00
4.483333333333333393e+00,1.447875048417690026e-02,5.329501386781138050e-01,5.372685380379019771e-01,1.381334668475501237e+00,9.911377113595087884e-01,1.369092881934354189e+00
4.500000000000000000e+00,1.447000000000000022e-02,5.315268528349821331e-01,5.360492127489840941e-01,1.382170006910850013e+00,9.906958582985173623e-01,1.369310101311012273e+00
4.516666666666666607e+00,1.446140689783368197e-02,5.301073711347303874e-01,5.348352340473608857e-01,1.382991305154134043e+00,9.902487089824489885e-01,1.369505354462833280e+00
4.533333333333333215e+00,1.445297885562543683e-02,5.286915273701209284e-01,5.336265671285302936e-01,1.383797776208295804e+00,9.897959659266650778e-01,1.369677456549261318e+00
4.549999999999999822e+00,1.444470503396226395e-02,5.272792510324034732e-01,5.324231773832341919e-01,1.384590405479113384e+00,9.893375268644891696e-01,1.369827247477006349e+00
4.566666666666666430e+00,1.443657459343116768e-02,5.258705215177863490e-01,5.312250303997970713e-01,1.385370183942405964e+00,9.888733920436985070e-01,1.369955713031329569e+00
4.583333333333333037e+00,1.442857669461914717e-02,5.244653389357093465e-01,5.300320919537367947e-01,1.386138107957564980e+00,9.884036047189059815e-01,1.370063902543501300e+00
4.599999999999999645e+00,1.442070049811320677e-02,5.230637191082329052e-01,5.288443280216817977e-01,1.386895179094578934e+00,9.879282412101605404e-01,1.370152915025758089e+00
4.616666666666666252e+00,1.441293516450034909e-02,5.216656936112057386e-01,5.276617047856810849e-01,1.387642403974786554e+00,9.874474113818174636e-01,1.370223899728545192e+00
4.633333333333333748e+00,1.440526985436757501e-02,5.202713056493711852e-01,5.264841886102584745e-01,1.388380794125570805e+00,9.869612504366105377e-01,1.370278044652347704e+00
4.650000000000000355e+00,1.439769372830188715e-02,5.188806071374112427e-01,5.253117460753822243e-01,1.389111365849207358e+00,9.864699130039649155e-01,1.370316568222086362e+00
4.666666666666666963e+00,1.439019594689028639e-02,5.174936572721646755e-01,5.241443439652647696e-01,1.389835140106065792e+00,9.859735703740953872e-01,1.370340715321758829e+00
4.683333333333333570e+00,1.438276567071977534e-02,5.161105215143487746e-01,5.229819492484804044e-01,1.390553142412360055e+00,9.854724085722548210e-01,1.370351754500826136e+00
4.700000000000000178e+00,1.437539206037735835e-02,5.147312705073723293e-01,5.218245291360452676e-01,1.391266402752635134e+00,9.849666261060484596e-01,1.370350974733961724e+00
4.716666666666666785e+00,1.436806427645003457e-02,5.133559802539384709e-01,5.206720510189630780e-01,1.391975955507172014e+00,9.844564346023565449e-01,1.370339686210799046e+00
4.733333333333333393e+00,1.436077147952480662e-02,5.119847305161842055e-01,5.195244824970750575e-01,1.392682839394488781e+00,9.839420554767284166e-01,1.370319215620979802e+00
4.750000000000000000e+00,1.435350283018867884e-02,5.106176042243959490e-01,5.183817914014023920e-01,1.393388097429113515e+00,9.834237187194073693e-01,1.370290904393098641e+00
4.766666666666666607e+00,1.434624748902865038e-02,5.092546880089192651e-01,5.172439457475365154e-01,1.394092776894799712e+00,9.829016642114338786e-01,1.370256110475037925e+00
4.783333333333333215e+00,1.433899461663172559e-02,5.078960704573711737e-01,5.161109137680370829e-01,1.394797929333351227e+00,9.823761380120570319e-01,1.370216203125711685e+00
4.799999999999999822e+00,1.433173337358490708e-02,5.065418424882274229e-01,5.149826639072488943e-01,1.395504610549229474e+00,9.818473932219040634e-01,1.370172564096909351e+00
4.816666666666666430e+00,1.432445292047519227e-02,5.051920971044364661e-01,5.138591648152487368e-01,1.396213880630111426e+00,9.813156895233733357e-01,1.370126586992642670e+00
4.833333333333333037e+00,1.431714241788958897e-02,5.038469290122056243e-01,5.127403853454500782e-01,1.396926803983562726e+00,9.807812924144835298e-01,1.370079676219432496e+00
4.849999999999999645e+00,1.430979102641509459e-02,5.025064342074760937e-01,5.116262945648764049e-01,1.397644449390007759e+00,9.802444723340779653e-01,1.370033245802961153e+00
4.866666666666666252e+00,1.430238790663871523e-02,5.011707099118429820e-01,5.105168617509253659e-01,1.398367890072163000e+00,9.797055045614755375e-01,1.369988719305714309e+00
4.883333333333333748e+00,1.429492221914744829e-02,4.998398543705884212e-01,5.094120563891659792e-01,1.399098203781118821e+00,9.791646688119449715e-01,1.369947529340726389e+00
4.900000000000000355e+00,1.428738312452830159e-02,4.985139666610409193e-01,5.083118481627407759e-01,1.399836472899252504e+00,9.786222488664404473e-01,1.369911117153932434e+00
4.916666666666666963e+00,1.427975978336827254e-02,4.971931465813738682e-01,5.072162069753912705e-01,1.400583784560166745e+00,9.780785322996550235e-01,1.369880932365304060e+00
4.933333333333333570e+00,1.427204135625436722e-02,4.958774944208464985e-01,5.061251029353995845e-01,1.401341230785846825e+00,9.775338100279536979e-01,1.369858432479350796e+00
4.950000000000000178e+00,1.426421700377358479e-02,4.945671109615850103e-01,5.050385063574438504e-01,1.402109908641253844e+00,9.769883763208970784e-01,1.369845083066860036e+00
4.966666666666666785e+00,1.425627588651292785e-02,4.932620971949557287e-01,5.039563877533860259e-01,1.402890920406562270e+00,9.764425282079405299e-01,1.369842357121748400e+00
4.983333333333333393e+00,1.424820716505939902e-02,4.919625543988452865e-01,5.028787178547413639e-01,1.403685373767277200e+00,9.758965656051185045e-01,1.369851735449622909e+00
5.000000000000000000e+00,1.423999999999999919e-02,4.906685824138872221e-01,5.018054675952698940e-01,1.404494382022472010e+00,9.753507875435019070e-01,1.369874701606042189e+00
5.016666666666666607e+00,1.423164960000000007e-02,4.893802632885516646e-01,5.007366081105113498e-01,1.405318467087610212e+00,9.748054558473746578e-01,1.369912108920071647e+00
